,Date,county_name,tweet_count_7dra,v_allergy_cols_7dra,tweet_count,v_allergy_cols,02,03,04,05,06,07,08,09,10,11,12
0,2016-01-01,Los Angeles,0.0186065086474883,22.571428571428573,6,24.0,0,0,0,0,0,0,0,0,0,0,0
1,2016-01-02,Los Angeles,0.0189626545952465,22.571428571428573,6,31.0,0,0,0,0,0,0,0,0,0,0,0
2,2016-01-03,Los Angeles,0.0182980225065676,22.571428571428573,8,24.0,0,0,0,0,0,0,0,0,0,0,0
3,2016-01-04,Los Angeles,0.0165412823145765,22.571428571428573,1,18.0,0,0,0,0,0,0,0,0,0,0,0
4,2016-01-05,Los Angeles,0.0156683629994827,22.625,7,13.0,0,0,0,0,0,0,0,0,0,0,0
5,2016-01-06,Los Angeles,0.0153540403832887,22.0,6,22.0,0,0,0,0,0,0,0,0,0,0,0
6,2016-01-07,Los Angeles,0.0125315678690599,20.75,1,26.0,0,0,0,0,0,0,0,0,0,0,0
7,2016-01-08,Los Angeles,0.0116989117922941,20.0,3,23.0,0,0,0,0,0,0,0,0,0,0,0
8,2016-01-09,Los Angeles,0.0127202851012096,20.5,5,19.0,0,0,0,0,0,0,0,0,0,0,0
9,2016-01-10,Los Angeles,0.01117610590731,21.875,1,21.0,0,0,0,0,0,0,0,0,0,0,0
10,2016-01-11,Los Angeles,0.0101804700407855,21.75,3,18.0,0,0,0,0,0,0,0,0,0,0,0
11,2016-01-12,Los Angeles,0.0101300307996042,20.75,6,22.0,0,0,0,0,0,0,0,0,0,0,0
12,2016-01-13,Los Angeles,0.0102854766880765,20.5,6,24.0,0,0,0,0,0,0,0,0,0,0,0
13,2016-01-14,Los Angeles,0.0110981270278562,19.625,4,21.0,0,0,0,0,0,0,0,0,0,0,0
14,2016-01-15,Los Angeles,0.0117806187006413,19.125,1,18.0,0,0,0,0,0,0,0,0,0,0,0
15,2016-01-16,Los Angeles,0.0124326472436155,20.125,4,21.0,0,0,0,0,0,0,0,0,0,0,0
16,2016-01-17,Los Angeles,0.012499190900589,19.875,3,12.0,0,0,0,0,0,0,0,0,0,0,0
17,2016-01-18,Los Angeles,0.0130832773158528,19.875,5,17.0,0,0,0,0,0,0,0,0,0,0,0
18,2016-01-19,Los Angeles,0.0129542804806265,22.0,3,26.0,0,0,0,0,0,0,0,0,0,0,0
