,Date,DMA,v_allergy_cols_5dra,/m/0cnq0_5dra,tweet_count,tweet_count_5dra,v_allergy_cols,02,03,04,05,06,07,08,09,10,11,12
0,2016-01-01,771,0.14285714285714285,4489.96244421019,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-01-02,771,0.14285714285714285,4489.96244421019,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-01-03,771,0.14285714285714285,4489.96244421019,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-01-04,771,0.14285714285714285,4489.96244421019,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-01-05,771,0.125,3928.717138683917,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-01-06,771,0.375,2673.432793817753,1,0.125,1,0,0,0,0,0,0,0,0,0,0,0
6,2016-01-07,771,0.5,2923.733107012471,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-01-08,771,0.5,2433.850731219112,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-01-09,771,0.5,2084.9510051182774,0,0.125,2,0,0,0,0,0,0,0,0,0,0,0
9,2016-01-10,771,0.5,1794.4796951529183,0,0.125,1,0,0,0,0,0,0,0,0,0,0,0
10,2016-01-11,771,0.625,1253.5177037518624,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-01-12,771,0.75,1412.966538286991,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-01-13,771,0.75,1875.3601711464185,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-01-14,771,0.5,4363.532614778262,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
14,2016-01-15,771,0.5,4079.428651622801,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
15,2016-01-16,771,0.625,4271.624226766836,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-01-17,771,0.875,4271.624226766836,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-01-18,771,1.0,4554.863871325178,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
18,2016-01-19,771,0.875,5486.550462114884,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
19,2016-01-20,771,0.75,5745.062887566017,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
20,2016-01-21,771,0.75,5282.669254706589,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
21,2016-01-22,771,0.75,3716.8807178507022,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
22,2016-01-23,771,0.75,3419.951848009182,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-01-24,771,0.75,3198.407514721688,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-01-25,771,0.625,3198.407514721688,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
